spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
40,공공AI 실패,-0.0036432645969822347,-0.030818094653933346,-0.030095494216406143,0.014778548218349749
40,공공AI 종합안,-0.03379097584785003,-0.10833345031335039,-0.09805757496700604,0.05195777653366677
40,공공AI+공교육,-0.026818221928912506,-0.06060189014761657,-0.053445715790076176,0.024364020583732694
40,공공AI+돌봄,-0.01776105688641645,-0.09529041590260637,-0.0908274391398751,0.027908004958194933
40,전국민 공공AI,-0.013504213564614356,-0.0545479333290013,-0.05048668010823096,0.000746285413466663
41,공공AI 실패,-0.006884040126996199,-0.008321394896290607,-0.006575307493415783,0.014855936417769907
41,공공AI 종합안,-0.04595237978114465,-0.0074791719518866595,0.005939803671758281,0.0524975315018994
41,공공AI+공교육,-0.038070680195542925,0.010276941138825602,0.020772651493504657,0.024841288439232466
41,공공AI+돌봄,-0.021976434311300058,-0.030762529659238758,-0.026509126529243116,0.02816924675905323
41,전국민 공공AI,-0.015894307155599613,-0.013481639252707511,-0.009547442124586775,0.0009609989385510626
42,공공AI 실패,-0.007996284344668259,-0.027932149687137392,-0.02631033761930099,0.014872911933690522
42,공공AI 종합안,-0.05485132663605029,-0.08914526307237106,-0.07271808058434409,0.05244669461680721
42,공공AI+공교육,-0.04384636989898817,-0.04455031591585143,-0.032675858876259956,0.024809066678670333
42,공공AI+돌봄,-0.02561730905500098,-0.08751702134087816,-0.0813440206759592,0.028091421933376916
42,전국민 공공AI,-0.021349218784632557,-0.048573241007610485,-0.04293691532962446,0.0008970350453105427
43,공공AI 실패,-0.003451642439800673,-0.003431370706401246,-0.002389224790874861,0.014579510305852547
43,공공AI 종합안,-0.035762026881086664,0.018893237138088697,0.029532529304688235,0.05120913218787042
43,공공AI+공교육,-0.02946328335701376,0.0279974010741345,0.03594866253544653,0.023659455812978424
43,공공AI+돌봄,-0.017462065713746228,-0.013934694138286206,-0.010240634344927863,0.027723720118306372
43,전국민 공공AI,-0.01412205780010807,-0.002650145480750904,0.0008583692002022136,0.0005948224873111689
44,공공AI 실패,-0.0033945242325637837,-0.03010721744519171,-0.02990481156431857,0.014333314796062332
44,공공AI 종합안,-0.026447407392458884,-0.09499327430352454,-0.08882865016764943,0.050086257144549395
44,공공AI+공교육,-0.0213517908389353,-0.05407883922918729,-0.050225306041365964,0.02262517026822075
44,공공AI+돌봄,-0.012104286967809352,-0.0828957473116056,-0.08082652494014436,0.027353351267360566
44,전국민 공공AI,-0.01080274492617736,-0.04625281460541804,-0.04414910244250603,0.00029041790386852284
45,공공AI 실패,-0.00035056717404741145,-0.0247901777687696,-0.02540925880072648,0.014420342677088546
45,공공AI 종합안,-0.015335178458954421,-0.0850160754850843,-0.08245214443366033,0.05026240271086827
45,공공AI+공교육,-0.010639155041625395,-0.048580836388535234,-0.04775186425757204,0.022813156231851133
45,공공AI+돌봄,-0.008163825736861294,-0.07459085715262136,-0.07242023498697042,0.027303849752868554
45,전국민 공공AI,-0.0048257742725583835,-0.042868700389135275,-0.04080905512793952,0.0002497328196336599
46,공공AI 실패,-0.0021215597431668426,-0.009332615995885678,-0.009037600332125015,0.014551224928736579
46,공공AI 종합안,-0.020243373672327113,-0.018663322584433907,-0.012913517908779024,0.050928958073343154
46,공공AI+공교육,-0.014776895681629432,-0.0024746286264427687,0.0011160487739257513,0.02341857770121451
46,공공AI+돌봄,-0.009807049396182467,-0.029984067074451375,-0.028023419966651593,0.02755943410668808
46,전국민 공공AI,-0.007124767647746166,-0.014644313598992889,-0.01278435615653245,0.000459796513057646
47,공공AI 실패,-0.004613065744325295,-0.002925752692092512,-0.001835484185512215,0.015012072485645917
47,공공AI 종합안,-0.03878432606703433,0.009914279394113656,0.021661799302886198,0.053044843034004294
47,공공AI+공교육,-0.03123745987961682,0.022751480320808135,0.0317585909759063,0.02536121539352376
47,공공AI+돌봄,-0.019696274313075246,-0.021011386006724163,-0.015620222635206543,0.02828373430873954
47,전국민 공공AI,-0.014404900321816766,-0.008083395528058604,-0.003256237051794064,0.0010550957687314906
48,공공AI 실패,-0.0012038565417644698,0.004917237283422166,0.003792029024478623,0.014429919603829408
48,공공AI 종합안,-0.022103058844129483,0.05254487391811774,0.05650077994120084,0.050310355704100584
48,공공AI+공교육,-0.015570236398616807,0.05129862459483453,0.05222319620195014,0.022856679903519916
48,공공AI+돌봄,-0.012093100903094275,0.005140474698578479,0.009062650123396368,0.027322367554239446
48,전국민 공공AI,-0.010032973435314771,0.008457597616993495,0.012143120016159858,0.00026495252182564145
49,공공AI 실패,-0.005481560657383033,0.004099236650661059,0.005379344718813073,0.014854923380876166
49,공공AI 종합안,-0.029704443506041858,0.03964394362079916,0.04856727891324207,0.05244402338586037
49,공공AI+공교육,-0.024432226526440504,0.040212068491458565,0.04767975779483424,0.024799675661504393
49,공공AI+돌봄,-0.013685593378644056,0.004589861471448603,0.0073928972115633595,0.028119515551028394
49,전국민 공공AI,-0.010665343477322245,0.007575746430160291,0.010169665726072058,0.0009201250701783206
50,공공AI 실패,-0.00665709405059367,0.0009906195316562241,0.0020729447710837734,0.014898072821624326
50,공공AI 종합안,-0.054285751154621115,0.034859455093819366,0.050312561396032185,0.05251642716375145
50,공공AI+공교육,-0.044051092188417795,0.042948987094868475,0.05392613369257698,0.024875927459056868
50,공공AI+돌봄,-0.02911012144486755,-0.011034033391083255,-0.0037283041870516953,0.02810342801646152
50,전국민 공공AI,-0.02447970026207097,-0.0007982688506243188,0.005802201143644409,0.0009069027939370509
51,공공AI 실패,-0.006277296046173858,-0.022715799692485397,-0.021438231485650522,0.014945830249957328
51,공공AI 종합안,-0.038263054442713884,-0.07600686416991678,-0.06305238606456842,0.05275066124808618
51,공공AI+공교육,-0.03050285873843396,-0.03827835096889805,-0.029739038424181463,0.025089530023596006
51,공공AI+돌봄,-0.017642570723122655,-0.07220864995245019,-0.06804237809138475,0.028189682848060116
51,전국민 공공AI,-0.01490836583240858,-0.04018995772313616,-0.036425761572282084,0.0009777952731927515
52,공공AI 실패,-0.006908864564194567,0.0006275468697747311,0.0021862451933822857,0.014804356464782176
52,공공AI 종합안,-0.03984302805431708,0.028253140190243803,0.040028220016160354,0.052320996178887046
52,공공AI+공교육,-0.0330892137025673,0.03382864153643898,0.04261781418128491,0.02466394035476601
52,공공AI+돌봄,-0.020438762622416465,-0.00463299716770374,-0.0014481892873083602,0.028172644695949933
52,전국민 공공AI,-0.01650741498701866,0.0024782749327270093,0.005445830458928325,0.0009637916884352258
53,공공AI 실패,-0.0029891400856504186,-0.0032635955713521568,-0.0027876957762359295,0.01465727835276509
53,공공AI 종합안,-0.021874768675452752,0.007994570248802823,0.015057636560265118,0.05140319222754989
53,공공AI+공교육,-0.017330832359478354,0.017493328157897996,0.022274175820089892,0.02385473519779472
53,공공AI+돌봄,-0.010219161047226963,-0.015293334516872373,-0.01259779474216996,0.027718622364458767
53,전국민 공공AI,-0.0080095526722163,-0.005151481744077984,-0.00265319626291112,0.0005906326651041374
54,공공AI 실패,-0.004218318424790049,-0.0033469173466209798,-0.002751747370070848,0.014794189123207884
54,공공AI 종합안,-0.032735326350240984,0.009024616011673314,0.01902881912111734,0.052024191759707517
54,공공AI+공교육,-0.02605399654279543,0.021062024052879137,0.02770784696157827,0.024425861035838436
54,공공AI+돌봄,-0.018309855509449455,-0.019710127901377723,-0.015301908086805718,0.02792713085678426
54,전국민 공공AI,-0.013506296735600012,-0.007374273706425653,-0.003381040511169886,0.0007620049081763138
55,공공AI 실패,-0.005725289117418042,-0.004275764237007262,-0.0031471509038203394,0.015016934643018788
